Box_ID,Capacity,Box_Name,x,y,Post_Code,Type
AL01,5,DEBUSSY,50.82638,4.29635,1070,Box
AL02,5,JANSON-MEIR,50.83296,4.30292,1070,Box
AL03,5,DRAPEAU,50.83616,4.31025,1070,Box
AL04,5,VETERANS COLONIAUX,50.84388,4.31255,1070,Box
AL05,5,PUCCINI,50.84622,4.30669,1070,Box
AL06,5,LENNIK,50.82057,4.28928,1070,Box
AL07,5,VENIZELOS,50.8237,4.29285,1070,Box
AL08,5,MERCATOR-ALGOET,50.83815,4.29892,1070,Box
AL09,5,VETERINAIRES,50.83459,4.32671,1070,Box
AL10,5,AVIATION,50.84063,4.33888,1070,Box
BX01,5,Dixmude 41,50.85706,4.34695,1000,Box
BX02,5,Commerce 50,50.85724,4.34859,1000,Box
BX03,5,Commerce 4,50.8558,4.34742,1000,Box
BX04,5,Senne,50.84732,4.34022,1000,Box
BX05,5,Miroir,50.83984,4.34805,1000,Box
BX06,5,Stalingrad,50.84011,4.34258,1000,Box
BX07,5,Cultes,50.85011,4.36734,1000,Box
BX08,5,Stevin,50.84359,4.3864,1000,Box
BX09,5,Abdication,50.85034,4.3852,1000,Box
BX10,5,Anneessens,50.84395,4.34364,1000,Box
BX11,5,Taciturne,50.84495,4.37928,1000,Box
BX12,5,Dixmude 71,50.85754,4.34829,1000,Box
BX13,5,Terre-Neuve,50.83911,4.34341,1000,Box
BX15,5,Foulons,50.84423,4.33951,1000,Box
BX16,5,Cureghem,50.84487,4.34122,1000,Box
BX17,5,Jean Jacobs,50.83514,4.3517,1000,Box
BX18,5,Confederés,50.84789,4.38896,1000,Box
BX19,5,Rue de Laeken,50.8562,4.35296,1000,Box
BX20,5,Bois à Construction,50.85531,4.3468,1000,Box
BX21,5,Franklin,50.84533,4.38692,1000,Box
BX23,5,Laines,50.83438,4.34917,1000,Box
BX24,5,Waterloo Wilson,50.84857,4.38083,1000,Box
BX25,5,Ortelius,50.84672,4.37685,1000,Box
BX26,5,Michelange,50.84506,4.38583,1000,Box
BX27,5,Witte de Haelen,50.85473,4.34408,1000,Box
BX28,5,Marché aux Grains,50.85129,4.34507,1000,Box
