FID,id,device_name,road_nl,road_fr,road_en,descr_nl,descr_fr,descr_en,lane_schema,basic_schema,detailed_schema,hour_cnt,day_cnt,year_cnt,cnt_time,x,y
rt_counting.fid--78ca8442_1733377883a_-10b9,1,CEK049,Generaal Jacqueslaan (VUB) - 1050 Elsene,Generaal Jacqueslaan (VUB) - 1050 Elsene,Generaal Jacqueslaan (VUB) - 1050 Elsene,Generaal Jacqueslaan (VUB) - 1050 Elsene,Generaal Jacqueslaan (VUB) - 1050 Elsene,Generaal Jacqueslaan (VUB) - 1050 Elsene,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_88f8d1cb-6353-478c-b9bc-4f94acc5af24.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_f49c9ea4-2d97-4de8-9954-17d9d2a96795.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK049_0cc3c9dc-437f-4634-9e02-7fe302775ae7.png,4,292,208851,2020-07-09T14:05:00,151771.419,168228.1158
rt_counting.fid--78ca8442_1733377883a_-10b8,2,CB2105,Poincarélaan 75 - 1070 Anderlecht,Poincarélaan 75 - 1070 Anderlecht,Poincarélaan 75 - 1070 Anderlecht,Poincarélaan 75 - 1070 Anderlecht,Poincarélaan 75 - 1070 Anderlecht,Poincarélaan 75 - 1070 Anderlecht,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_2a8aa9ff-bf28-45ba-993f-b56655057837.png,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_b5de25d3-ac18-4d92-bfcf-2c39535aaf02.png,https://data-mobility.brussels/media/bike/count/bike/count/CB2105_3c13b20c-909f-45bc-b159-1257b8f8f6e6.png,4,518,170836,2020-07-09T14:05:00,147975.5426,170008.0174
rt_counting.fid--78ca8442_1733377883a_-10b7,3,CB02411,Vilvoordsesteenweg - 1020 Brussel,Chaussée de Vilvorde - 1020 Bruxelles,Chaussée de Vilvorde - 1020 Bruxelles,Vilvoordsesteenweg - 1020 Brussel,Chaussée de Vilvorde - 1020 Bruxelles,Chaussée de Vilvorde - 1020 Bruxelles,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_d048e4a0-ab43-4b42-af71-90492a9003b4.png,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_454e3cbe-d844-4c2c-b0dd-510f7483d47d.png,https://data-mobility.brussels/media/bike/count/bike/count/CB02411_609a141d-0717-4a39-8a18-6aa2f4f0d41b.png,13,866,366887,2020-07-09T14:05:00,150366.5209,174609.7089
rt_counting.fid--78ca8442_1733377883a_-10b6,4,CEK18,Tervurenlaan 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,Tervurenlaan 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,Avenue de Tervueren 28 - 1040 Etterbeek,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_2b5bdc3c-dc0c-4177-9a0b-870092700400.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_60e49315-2f19-4205-a85f-b0eaddc6ee3e.png,https://data-mobility.brussels/media/bike/count/bike/count/CEK18_fdf1b3d8-1de2-44df-b6e1-0a3fa02160fc.png,6,692,217119,2020-07-09T14:05:00,152219.2517,169865.7479
rt_counting.fid--78ca8442_1733377883a_-10b5,5,CJM90,Koolmijnkaai 8 - 1080 Sint-Jans-Molenbeek,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,Koolmijnkaai 8 - 1080 Sint-Jans-Molenbeek,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,Quai des charbonnages 8 - 1080 Molenbeek-Saint-Jean,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_8c884c9c-16ca-4e68-b132-6e24c188919a.png,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_1ff53f6e-e17b-4173-8c99-43e040f1fdc2.png,https://data-mobility.brussels/media/bike/count/bike/count/CJM90_625643f3-5414-4889-ac46-7ddb3f1dc1b4.png,61,2557,524736,2020-07-08T23:59:00,148062.7063,171470.8012
rt_counting.fid--78ca8442_1733377883a_-10b4,6,COM205,Vorstlaan 213 - 1170 Watermaal Bosvoorde,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,Vorstlaan 213 - 1170 Watermaal Bosvoorde,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,Boulevard du Souverain 213 - 1170 Watermaal-Bosvoorde,https://data-mobility.brussels/media/bike/count/bike/count/COM205_9e247756-9a71-428e-b012-cf6d5e29d16e.png,https://data-mobility.brussels/media/bike/count/bike/count/COM205_098c7522-eed2-4f91-bbc3-998b2962938a.png,https://data-mobility.brussels/media/bike/count/bike/count/COM205_3ae3e9e7-231b-4a1f-9c0a-badf3b026c3c.png,3,372,244355,2020-07-09T14:05:00,154324.4012,167763.531
rt_counting.fid--78ca8442_1733377883a_-10b3,7,CB1142,Wetstraat 130 - 1000 Brussel,Rue de la Loi 130 - 1000 Bruxelles,Rue de la Loi 130 - 1000 Bruxelles,"De aantallen zijn gemeten op het fietspad van de Wetstraat richting centrum. Fietsbewegingen in beide richtingen zijn samengeteld. De aantallen worden telkens gereset aan het begin van een uur, een dag en een jaar.","Les nombres sont comptés sur la piste cyclable de la Rue de la Loi en direction du centre. Les mouvements des cyclistes dans les deux sens sont comptés ensemble. Les nombres sont chaque fois remis à zéro au début de l’heure, de la journée et de l’année.",Rue de la Loi 130 - 1000 Bruxelles,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_1575865b-d1a2-44a4-8368-a761ababe645.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_970ce501-f26f-4d25-8e45-5354e83d48c5.png,https://data-mobility.brussels/media/bike/count/bike/count/CB1142_2c7377b4-2950-4e8f-83ed-09318e26cdd7.png,9,1311,287642,2020-07-09T14:05:00,150703.3057,170351.4317
rt_counting.fid--78ca8442_1733377883a_-10b2,8,CSG301,Fonsnylaan 48B - 1060 Sint-Gillis,Avenue Fonsny 48B - 1060 Saint-Gilles,Avenue Fonsny 48B - 1060 Saint-Gilles,Fonsnylaan 48B - 1060 Sint-Gillis,Avenue Fonsny 48B - 1060 Saint-Gilles,Avenue Fonsny 48B - 1060 Saint-Gilles,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,6,305,109017,2020-07-09T14:05:00,147705.8412,169339.571
rt_counting.fid--78ca8442_1733377883a_-10b1,9,CLW239,Woluwelaan 34 - 1200 Sint-Lambrechts-Woluwe,Boulevard de la Woluwe 34 - 1200 Woluwe-Saint-Lambert,Boulevard de la Woluwe 34 - 1200 Woluwe-Saint-Lambert,Woluwelaan 34 - 1200 Sint-Lambrechts-Woluwe,Boulevard de la Woluwe 34 - 1200 Woluwe-Saint-Lambert,Boulevard de la Woluwe 34 - 1200 Woluwe-Saint-Lambert,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,1,65,51112,2020-07-09T14:05:00,154654.4514,169733.6597
rt_counting.fid--78ca8442_1733377883a_-10b0,10,CB1599,Franklin Rooseveltlaan 48 - 1000 Brussel,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Franklin Rooseveltlaan 48 - 1000 Brussel,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,https://data-mobility.brussels/media/bike/count/-,0,45,57374,2020-07-09T14:05:00,150740.1703,166884.9708
