id	@id	addr:housenumber	addr:street	created_by	image:0	image:1	image:2	name	repair	shop	@timestamp	@version	@changeset	@user	@uid	addr:postcode	description	operator	phone	tourism	website	amenity	dispensing	opening_hours	service:bicycle:diy	service:bicycle:rental	service:bicycle:repair	service:bicycle:retail	service:bicycle:second_hand	ref:UrbIS	bicycle_parking	capacity	covered	contact:phone	contact:website	fee	crossing	highway	ele	ele:msl	ele:source	source	addr:city	addr:city:fr	addr:city:nl	addr:country	bottle	image	mapillary	mapillary_url	stateofrepair	survey:date	cuisine	drive_through	internet_access	smoking	takeaway	crossing_ref	tactile_paving	recycling:clothes	recycling_type	location	recycling:glass_bottles	bicycle	manometer	manual	pressure	pump	service:bicycle:pump	service:bicycle:tools	valves	brand	ownership	service:bicycle:chain_tool	service:bicycle:pump:operational_status	recycling:glass	recycling:paper	contact:facebook	email	diet:vegetarian	access	addr:street:fr	addr:street:nl	maxheight	parking	payment:american_express	payment:cash	payment:maestro	payment:mastercard	payment:visa	wheelchair	fixme	opening_date	was:contact:facebook	was:description	was:name	service:bicycle:stand	natural
node/349714633	node/349714633	6	Avenue Jean Volders - Jean Volderslaan	Potlatch 0.10f	https://i.imgur.com/qAKx7WB.jpg	https://i.imgur.com/LPGJ9Xr.jpg	https://i.imgur.com/10qqW0c.jpg	Véloshop Mydo	yes	bicycle	2020-07-21T14:10:36	6	88298949	349499	7006347																																																																																			
node/422080728	node/422080728	25	Rue des Dominicains - Predikherenstraat					B-Aparthotels Grand Place			2020-07-21T07:31:22	7	88281839	bxl-forever	2644288	1000	Aparthotel	B-aparthotels	+32 2 743 51 11	apartment	https://b-aparthotels.com/																																																																													
node/1210355886	node/1210355886							Acura Pharma			2020-07-21T12:57:18	3	88295472	bxl-forever	2644288							pharmacy	yes	"Mo-Fr 09:00-13:00	13:30-19:00; Sa 09:00-13:00"																																																																										
node/1267855234	node/1267855234	111	Rue Saint-Lambert - Sint-Lambrechtsstraat					SeaSpeed		bicycle	2020-07-21T12:47:47	5	88295388	vVYou	11526185	1200									no	yes	brand	yes	no																																																																					
node/1889918938	node/1889918938	47	Rue de l'Hospice Communal - Gemeentelijke Godshuisstraat		https://i.imgur.com/A4AZCbM.jpg			Vélo Pipette		bicycle	2020-07-21T12:24:42	8	88294371	Eleuthere	279790	1170			+32 2 672 16 98		http://www.velopipette.be/			"Mo off;Tu-Fr 09:30-13:00	 14:00-18:30;Sa 09:30-18:30;Su off"		yes	yes	yes	yes	8724813																																																																				
node/1931089311	node/1931089311				https://i.imgur.com/G2urXvK.jpg						2020-07-21T13:01:07	2	88296006	Eleuthere	279790							bicycle_parking									stands	6	yes																																																																	
node/1937685571	node/1937685571				https://i.imgur.com/EyEe357.jpg						2020-07-21T13:02:56	2	88296094	Eleuthere	279790							bicycle_parking									stands	6	no																																																																	
node/1949293412	node/1949293412				https://i.imgur.com/ILQpVAr.jpg						2020-07-21T13:52:38	2	88298348	Piotr Barczak	11526233							bicycle_parking									stands	6	no																																																																	
node/2124083540	node/2124083540				https://i.imgur.com/kSL05Sd.jpg						2020-07-21T14:07:51	2	88298887	matterYflow	7924617							bicycle_parking									stands	6	no																																																																	
node/2124086497	node/2124086497				https://i.imgur.com/wtB6SxM.jpg						2020-07-21T12:37:21	2	88294909	matterYflow	7924617							bicycle_parking									stands	4	no																																																																	
